id;item_type;canonical_name;price_source;price_confidence;base_market_price_rub;quick_sell_price_rub;net_after_sale_rub;max_buy_price_rub;friend_resale_price_rub;shop_median_rub;aliases
game:god_of_war_ragnarok;game;God Of War Ragnarok;friend_resale_price;high;1799;1450;1269.5;950;1799;2900;god of war ragnarek | ragnarok ps4 | ragnarok ps5 | бог войны рагнарок | God Of War Ragnarok
game:spider_man_game_of_the_year;game;Spider-Man Game of the Year;friend_resale_price;high;1899;1500;1315.0;1000;1899;;человек паук издание игра года | spider-man goty | Spider-Man Game of the Year
game:the_sims_4;game;The Sims 4;friend_resale_price;high;2799;2250;1997.5;1650;2799;;sims 4 | The Sims 4
game:ghost_of_tsushima;game;Ghost Of Tsushima;friend_resale_price;high;1599;1300;1133.0;800;1599;2275;ghost tsushima | ghost of tushima | призрак цусимы | Ghost Of Tsushima
game:call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;friend_resale_price;high;1999;1600;1406.0;1100;1999;1900;cod infinite warfare | infinite warfare | infinity warfare | infiniti warfare | legacy edition infinite warfare | Call Of Duty Infinite Warfare
game:spider_man_miles_morales;game;Spider Man Miles Morales;friend_resale_price;high;1799;1450;1269.5;950;1799;2550;miles morales | майлз моралес | Spider Man Miles Morales
game:mafia_trilogy;game;Mafia Trilogy;friend_resale_price;high;1799;1450;1269.5;950;1799;2400;mafia definitive trilogy | mafia 1 2 3 | мафия trilogy | Mafia Trilogy
game:call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;friend_resale_price;high;2399;1900;1679.0;1350;2399;2000;cod advanced warfare | advanced warfare | advanced warfire | adwanced warfare | advanced warfare ps4 | Call Of Duty Advanced Warfare
game:nier_automata;game;Nier Automata;friend_resale_price;high;1499;1200;1042.0;700;1499;1750;nier automata game of the yorha | Nier Automata
game:ratchet_and_clank;game;Ratchet And Clank;friend_resale_price;high;1099;900;769.0;450;1099;1590;ratchet clank | ratchet clank ps4 | ratchet clank диск | ratchet clark | ratchet clark ps4 | рэтчет кланк | ретчет кланк | рэтчет и кланк | ретчет и кланк | Ratchet And Clank
game:resident_evil_2_remake;game;Resident Evil 2 Remake;missing;missing;;;;;;;resident evil 2 | re2 remake | re 2 remake | re2 | Resident Evil 2 Remake
game:dark_souls_remastered;game;Dark Souls Remastered;friend_resale_price;high;1299;1050;905.5;600;1299;1300;dark souls remaster | dark souls 1 remastered | dark souls i remastered | Dark Souls Remastered
game:it_takes_two;game;It Takes Two;friend_resale_price;high;1899;1500;1315.0;1000;1899;2600;it take two | takes two | it takes 2 | ит тейкс ту | ит тейкс 2 | ит тейк ту | нужны двое | нужен второй | It Takes Two
game:resident_evil_3_remake;game;Resident Evil 3 Remake;missing;missing;;;;;;;resident evil 3 | re3 remake | re 3 remake | re3 | Resident Evil 3 Remake
game:call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;missing;missing;;;;;;;call of duty black ops iv | cod black ops 4 | cod bo4 | black ops 4 | black ops iv | bo4 | Call of Duty Black Ops 4
game:far_cry_6;game;Far Cry 6;missing;missing;;;;;;;farcry 6 | farcry6 | фар край 6 | фаркрай 6 | Far Cry 6
game:gran_turismo_7;game;Gran Turismo 7;missing;missing;;;;;;;grand turismo 7 | gt7 | Gran Turismo 7
game:the_last_of_us_part_ii;game;The Last of Us Part II;shop_median_price;low;4000;3200;2862.0;2550;;4000;the last of us 2 remastered | the last of us 2 | last of us 2 | tlou 2 | The Last of Us Part II
game:the_last_of_us_remastered;game;The Last of Us Remastered;missing;missing;;;;;;;last of us remastered | the last of us 1 | last of us 1 | The Last of Us Remastered
game:dark_souls_2_scholar_of_the_first_sin;game;Dark Souls 2 Scholar of the First Sin;missing;missing;;;;;;;dark souls ii scholar of the first sin | dark souls 2 | dark souls ii | scholar of the first sin | Dark Souls 2 Scholar of the First Sin
game:dark_souls_3;game;Dark Souls 3;missing;missing;;;;;;;dark souls iii | dark souls 3 the fire fades | the fire fades edition | Dark Souls 3
game:resident_evil_village;game;Resident Evil Village;shop_median_price;low;1950;1550;1360.5;1050;;1950;resident evil 8 | re village | re8 | village resident evil | Resident Evil Village
game:tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;missing;missing;;;;;;;tomb raider definitive | tomb raider ps4 | лара крофт definitive edition | лара крофт tomb raider | томб райдер definitive edition | Tomb Raider Definitive Edition
game:call_of_duty_black_ops_6;game;Call of Duty Black Ops 6;missing;missing;;;;;;;cod black ops 6 | cod bo6 | black ops 6 | bo6 | Call of Duty Black Ops 6
game:bloodborne;game;Bloodborne;shop_median_price;medium;1100;900;769.0;450;;1100;bloodborne goty | bloodborne game of the year | Bloodborne
game:dying_light;game;Dying Light;shop_median_price;medium;2500;2000;1770.0;1450;;2500;dying light enhanced edition | dying light the following | даинг лайт | даинглайт | дайинг лайт | dlight | Dying Light
game:dark_souls_trilogy;game;Dark Souls Trilogy;shop_median_price;low;2950;2350;2088.5;1750;;2950;dark souls трилогия | дарк соулс трилогия | соулсы трилогия | Dark Souls Trilogy
game:crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;missing;missing;;;;;;;ctr nitro fueled | ctr crash nitro fueled | crash racing | crash team racing | краш гонки | краш тим рейсинг | Crash Team Racing Nitro-Fueled
game:assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;shop_median_price;low;1550;1250;1087.5;750;;1550;assassins creed valhalla | assassin creed valhalla | ac valhalla | ас вальгалла | ассасин крид вальгалла | ассассин крид вальгалла | Assassin S Creed Valhalla
game:call_of_duty_black_ops_cold_war;game;Call Of Duty Black Ops Cold War;shop_median_price;medium;2250;1800;1588.0;1250;;2250;cod cold war | black ops cold war | cold war | bo cold war | Call Of Duty Black Ops Cold War
game:sekiro_shadows_die_twice;game;Sekiro Shadows Die Twice;missing;missing;;;;;;;sekiro | sekiro ps4 | Sekiro Shadows Die Twice
game:call_of_duty_vanguard;game;Call Of Duty Vanguard;shop_median_price;medium;2745;2200;1952.0;1650;;2745;cod vanguard | vanguard ps4 | vanguard ps5 | Call Of Duty Vanguard
game:silent_hill_2;game;Silent Hill 2;missing;missing;;;;;;;silent hill 2 remake | Silent Hill 2
game:sonic_frontiers;game;Sonic Frontiers;shop_median_price;medium;2800;2250;1997.5;1650;;2800;соник фронтирс | соник фронтиерс | Sonic Frontiers
game:call_of_duty_ghosts;game;Call Of Duty Ghosts;shop_median_price;medium;1900;1500;1315.0;1000;;1900;cod ghosts | cod ghost | ghosts ps4 | Call Of Duty Ghosts
game:bloodborne_game_of_the_year_edition;game;Bloodborne Game Of The Year Edition;shop_median_price;medium;1800;1450;1269.5;950;;1800;bloodborne goty | bloodborne game of the year | бладборн game of the year | бладборн goty | Bloodborne Game Of The Year Edition
game:persona_5_royal;game;Persona 5 Royal;missing;missing;;;;;;;persona 5 | p5 royal | Persona 5 Royal
game:sniper_ghost_warrior_contracts_2;game;Sniper Ghost Warrior Contracts 2;missing;missing;;;;;;;sniper contracts 2 | sniper ghost contracts 2 | Sniper Ghost Warrior Contracts 2
game:ufc;game;UFC;friend_resale_price;high;899;700;587.0;250;899;;UFC
game:call_of_duty_modern_warfare;game;Call Of Duty Modern Warfare;shop_median_price;low;2500;2000;1770.0;1450;;2500;cod modern warfare | modern warfare 2019 | mw 2019 | mw2019 | modern warfare ps4 | Call Of Duty Modern Warfare
game:call_of_duty_wwii;game;Call Of Duty Wwii;shop_median_price;medium;3500;2800;2498.0;2150;;3500;call of duty ww2 | cod wwii | cod ww2 | wwii ps4 | ww2 ps4 | world war ii | Call Of Duty Wwii
game:dying_light_2_stay_human;game;Dying Light 2 Stay Human;shop_median_price;medium;2200;1750;1542.5;1200;;2200;dying light 2 | dying light stay human | даинг лайт 2 | даинглайт 2 | дайинг лайт 2 | stay human | Dying Light 2 Stay Human
game:armored_core_vi_fires_of_rubicon;game;Armored Core VI Fires of Rubicon;missing;missing;;;;;;;armored core vi | armored core 6 | armored core fires of rubicon | Armored Core VI Fires of Rubicon
game:stellar_blade;game;Stellar Blade;missing;missing;;;;;;;Stellar Blade
game:stray;game;Stray;missing;missing;;;;;;;stray ps4 | stray ps5 | стрей | страй | Stray
game:crash_bandicoot_n_sane_trilogy;game;Crash Bandicoot N Sane Trilogy;shop_median_price;low;2095;1700;1497.0;1150;;2095;crash bandicoot trilogy | crash trilogy | Crash Bandicoot N Sane Trilogy
game:death_stranding;game;Death Stranding;shop_median_price;low;3395;2700;2407.0;2100;;3395;дес стрендинг | дез стрендинг | деф стрендинг | Death Stranding
game:final_fantasy_xv_royal_edition;game;Final Fantasy Xv Royal Edition;shop_median_price;medium;1900;1500;1315.0;1000;;1900;final fantasy 15 royal edition | ff xv royal | ff15 royal | Final Fantasy Xv Royal Edition
game:lego_batman_3_beyond_gotham;game;Lego Batman 3 Beyond Gotham;missing;missing;;;;;;;lego batman beyond gotham | lego batman 3 | лего бэтмен 3 | лего бэтмен за пределами готэма | Lego Batman 3 Beyond Gotham
game:slime_rancher_deluxe_edition;game;Slime Rancher Deluxe Edition;missing;missing;;;;;;;slime rancher | слайм ранчер | слайм ранчер deluxe | слайм ренчер | Slime Rancher Deluxe Edition
game:the_binding_of_isaac_repentance;game;The Binding of Isaac Repentance;missing;missing;;;;;;;binding of isaac repentance | binding isaac repentance | isaac repentance | айзек repentance | биндинг оф айзек | зэ байндинг оф айзек | The Binding of Isaac Repentance
game:lego_marvel_super_heroes_2;game;Lego Marvel Super Heroes 2;missing;missing;;;;;;;лего марвел супер герои 2 | lego marvel superheroes 2 | Lego Marvel Super Heroes 2
game:lego_marvel_avengers;game;Lego Marvel Avengers;missing;missing;;;;;;;lego avengers | лего марвел мстители | лего мстители | Lego Marvel Avengers
game:nhl_24;game;NHL 24;missing;missing;;;;;;;нхл 24 | нхл24 | NHL 24
game:lego_worlds;game;Lego Worlds;shop_median_price;medium;1400;1100;951.0;650;;1400;лего ворлдс | лего миры | Lego Worlds
game:the_witcher_3_game_of_the_year;game;The Witcher 3 Game of the Year;friend_resale_price;high;1499;1200;1042.0;700;1499;;ведьмак 3 игра года | witcher 3 game of the year | The Witcher 3 Game of the Year
game:the_witcher_3_wild_hunt;game;The Witcher 3 Wild Hunt;friend_resale_price;high;1299;1050;905.5;600;1299;;ведьмак 3 дикая охота | witcher 3 wild hunt | The Witcher 3 Wild Hunt
game:nhl_22;game;NHL 22;missing;missing;;;;;;;нхл 22 | нхл22 | NHL 22
game:god_of_war_3;game;God of War 3;friend_resale_price;high;999;800;678.0;350;999;1250;god of war 3 remastered | god of war 3 remastered (без коробки | бог войны 3 | God of War 3
game:nhl_19;game;NHL 19;missing;missing;;;;;;;нхл 19 | нхл19 | NHL 19
game:nhl_25;game;NHL 25;missing;missing;;;;;;;нхл 25 | нхл25 | NHL 25
game:nhl_20;game;NHL 20;missing;missing;;;;;;;нхл 20 | нхл20 | NHL 20
game:lego_marvel_super_heroes;game;Lego Marvel Super Heroes;shop_median_price;medium;1400;1100;951.0;650;;1400;лего марвел супер герои | lego marvel superheroes | Lego Marvel Super Heroes
game:nba_2k23;game;NBA 2K23;missing;missing;;;;;;;nba2k23 | nba 23 | нба 2к23 | нба2к23 | NBA 2K23
game:nhl_23;game;NHL 23;missing;missing;;;;;;;нхл 23 | нхл23 | NHL 23
game:nhl_21;game;NHL 21;missing;missing;;;;;;;нхл 21 | нхл21 | NHL 21
game:far_cry_5;game;Far Cry 5;friend_resale_price;high;1099;900;769.0;450;1099;1000;far cry 5 (без коробки | Far Cry 5
game:infamous_first_light;game;Infamous First Light;friend_resale_price;high;2999;2400;2134.0;1800;2999;;первый свет | Infamous First Light
game:lego_city_undercover;game;Lego City Undercover;shop_median_price;medium;1600;1300;1133.0;800;;1600;лего сити андеркавер | лего город undercover | Lego City Undercover
game:nhl_18;game;NHL 18;missing;missing;;;;;;;нхл 18 | нхл18 | NHL 18
game:nhl_16;game;NHL 16;missing;missing;;;;;;;нхл 16 | нхл16 | NHL 16
game:nhl_17;game;NHL 17;missing;missing;;;;;;;нхл 17 | нхл17 | NHL 17
game:lego_movie_2_videogame;game;Lego Movie 2 Videogame;missing;missing;;;;;;;lego movie 2 video game | лего фильм 2 | lego movie 2 | Lego Movie 2 Videogame
game:lego_movie_videogame;game;Lego Movie Videogame;missing;missing;;;;;;;lego movie video game | лего фильм игра | lego movie | Lego Movie Videogame
game:mortal_kombat_11;game;Mortal Kombat 11;friend_resale_price;high;1699;1350;1178.5;850;1699;1700;mortal kombat 11 (бесплатный апгрейд | mk11 | Mortal Kombat 11 (бесплатный PS5 апгрейд | Mortal Kombat 11
game:nhl_15;game;NHL 15;missing;missing;;;;;;;нхл 15 | нхл15 | NHL 15
game:uncharted_4;game;Uncharted 4;friend_resale_price;high;899;700;587.0;250;899;1500;uncharted 4 путь вора | Uncharted 4
game:lego_dc_super_villains;game;Lego Dc Super Villains;shop_median_price;medium;1650;1300;1133.0;800;;1650;lego super villains | лего супер злодеи | лего дс супер злодеи | Lego Dc Super Villains
game:lego_jurassic_world;game;Lego Jurassic World;missing;missing;;;;;;;лего мир юрского периода | лего юрский мир | Lego Jurassic World
game:gta_5;game;GTA 5;friend_resale_price;high;1299;1050;905.5;600;1299;2000;gta 5: premium edition | gta 5 ps | grand theft auto v gta | grand theft auto v | гта 5 | GTA 5
game:fallout_4;game;Fallout 4;friend_resale_price;high;2599;2100;1861.0;1550;2599;;Fallout 4
game:lego_star_wars_the_skywalker_saga;game;Lego Star Wars The Skywalker Saga;shop_median_price;low;2400;1900;1679.0;1350;;2400;lego skywalker saga | lego звездные войны скайуокер сага | лего скайуокер сага | Lego Star Wars The Skywalker Saga
game:battlefield_5;game;Battlefield 5;friend_resale_price;high;1499;1200;1042.0;700;1499;;battlefield v | Battlefield 5
game:uncharted_collection;game;Uncharted Collection;friend_resale_price;high;1299;1050;905.5;600;1299;;uncharted коллекция | nathan drake collection | Uncharted Collection
game:fifa_19;game;FIFA 19;friend_resale_price;high;999;800;678.0;350;999;;fifa 2019 | FIFA 19
game:battlefield_2042;game;Battlefield 2042;friend_resale_price;high;1199;950;814.5;500;1199;;Battlefield 2042
game:lego_harry_potter_collection;game;Lego Harry Potter Collection;shop_median_price;low;1445;1150;996.5;650;;1445;lego harry potter | лего гарри поттер | гарри поттер лего | Lego Harry Potter Collection
game:borderlands_3;game;Borderlands 3;friend_resale_price;high;899;700;587.0;250;899;;Borderlands 3
game:gran_turismo_sport_no_cover;game;Gran Turismo Sport no cover;friend_resale_price;high;499;400;314.0;0;499;;gran turismo sport без обложки | grand turismo sport без обложки | Gran Turismo Sport no cover
game:hitman_2;game;Hitman 2;friend_resale_price;high;1999;1600;1406.0;1100;1999;;Hitman 2
game:rise_of_the_tomb_raider;game;Rise of the Tomb Raider;friend_resale_price;high;1399;1100;951.0;650;1399;;rise of tomb raider | Rise of the Tomb Raider
game:fnaf_security_breach;game;FNAF Security Breach;friend_resale_price;high;1599;1300;1133.0;800;1599;;five nights at freddy security breach | FNAF Security Breach
game:horizon_zero_dawn_sealed;game;Horizon Zero Dawn sealed;friend_resale_price;high;1199;950;814.5;500;1199;;horizon zero dawn запечатанный | horizon zero dawn новый | Horizon Zero Dawn sealed
game:uncharted_lost_legacy;game;Uncharted Lost Legacy;friend_resale_price;high;1199;950;814.5;500;1199;;uncharted утраченное наследие | Uncharted Lost Legacy
game:world_of_warriors;game;World of Warriors;friend_resale_price;high;1399;1100;951.0;650;1399;;World of Warriors
game:gta_5_sealed;game;GTA 5 sealed;friend_resale_price;high;1599;1300;1133.0;800;1599;;gta 5 заводской упаковке | гта 5 заводской упаковке | gta 5 запечатанный | GTA 5 sealed
game:lego_avengers;game;Lego Avengers;friend_resale_price;high;999;800;678.0;350;999;;Lego Avengers
game:shadow_of_the_colossus;game;Shadow of the Colossus;friend_resale_price;high;1499;1200;1042.0;700;1499;;shadow of colossus | Shadow of the Colossus
game:battlefield_1_revolution;game;Battlefield 1 Revolution;friend_resale_price;high;1199;950;814.5;500;1199;;battlefield 1 революция | Battlefield 1 Revolution
game:final_fantasy_15_royal_edition;game;Final Fantasy 15 Royal Edition;friend_resale_price;high;1099;900;769.0;450;1099;;final fantasy xv royal edition | Final Fantasy 15 Royal Edition
game:knack;game;Knack;friend_resale_price;high;1499;1200;1042.0;700;1499;;Knack
game:lego_batman_beyond_gotham;game;Lego Batman Beyond Gotham;friend_resale_price;high;1099;900;769.0;450;1099;;Lego Batman Beyond Gotham
game:sniper_contracts_2;game;Sniper Contracts 2;friend_resale_price;high;1799;1450;1269.5;950;1799;;sniper ghost warrior contracts 2 | Sniper Contracts 2
game:uncharted_drake_s_fortune;game;Uncharted Drake's Fortune;friend_resale_price;high;1299;1050;905.5;600;1299;;uncharted drakes fortune | Uncharted Drake's Fortune
game:lego_ninjago_movie_video_game;game;Lego Ninjago Movie Video Game;missing;missing;;;;;;;lego ninjago | лего ниндзяго | ninjago lego | Lego Ninjago Movie Video Game
game:lego_the_incredibles;game;Lego The Incredibles;missing;missing;;;;;;;lego incredibles | лего суперсемейка | лего супер семейка | Lego The Incredibles
game:fast_and_furious_crossroads;game;Fast & Furious Crossroads;missing;missing;;;;;;;fast furious crossroads | форсаж перекрестки | форсаж crossroads | Fast & Furious Crossroads
game:lego_star_wars_the_force_awakens;game;Lego Star Wars The Force Awakens;missing;missing;;;;;;;lego star wars force awakens | lego звездные войны пробуждение силы | лего звездные войны пробуждение силы | Lego Star Wars The Force Awakens
game:zero_tolerance_collection;game;Zero Tolerance Collection;missing;missing;;;;;;;zero tolerance collection special limited edition | zero tolerance special limited edition | Zero Tolerance Collection
game:far_cry_3;game;Far Cry 3;shop_median_price;low;2000;1600;1406.0;1100;;2000;far cry 3-1200/ | Far Cry 3
game:far_cry_4;game;Far Cry 4;shop_median_price;low;1700;1350;1178.5;850;;1700;far cry 4-1000/ | Far Cry 4
game:fifa_23;game;FIFA 23;shop_median_price;low;1500;1200;1042.0;700;;1500;fifa 23 ps | FIFA 23
game:metro_exodus;game;Metro Exodus;friend_resale_price;high;1399;1100;951.0;650;1399;2000;метро исход | Metro Exodus
game:diablo_3;game;Diablo 3;shop_median_price;low;2000;1600;1406.0;1100;;2000;diablo 3 reaper souls | Diablo 3
game:ufc_2;game;UFC 2;shop_median_price;low;1300;1050;905.5;600;;1300;ufc 2 (без коробки | UFC 2
game:marvel_avengers;game;Marvel Avengers;friend_resale_price;high;1499;1200;1042.0;700;1499;1400;avengers | мстители | Marvel Avengers
game:shadow_of_the_tomb_raider;game;Shadow Of The Tomb Raider;friend_resale_price;high;1299;1050;905.5;600;1299;2250;shadow of tomb raider | Shadow Of The Tomb Raider
game:days_gone;game;Days Gone;friend_resale_price;high;1899;1500;1315.0;1000;1899;2100;gays gone | жизнь после | Days Gone
game:need_for_speed_rivals;game;Need For Speed Rivals;friend_resale_price;high;1399;1100;951.0;650;1399;1245;nfs rivals | Need For Speed Rivals
game:mass_effect_andromeda;game;Mass Effect Andromeda;friend_resale_price;high;1299;1050;905.5;600;1299;1500;Mass Effect Andromeda
game:horizon_zero_dawn_complete_edition;game;Horizon Zero Dawn Complete Edition;friend_resale_price;high;999;800;678.0;350;999;700;horizon zero dawn | Horizon Zero Dawn Complete Edition
game:gran_turismo_sport;game;Gran Turismo Sport;friend_resale_price;high;699;550;450.5;150;699;950;grand turismo sport | Gran Turismo Sport
game:infamous_second_son;game;Infamous Second Son;friend_resale_price;high;799;650;541.5;200;799;1000;Infamous Second Son
game:call_of_duty_mw;game;Call Of Duty Mw;shop_median_price;medium;3000;2400;2134.0;1800;;3000;Call Of Duty Mw
game:call_of_duty_ww;game;Call Of Duty Ww;shop_median_price;low;2400;1900;1679.0;1350;;2400;Call Of Duty Ww
game:mad_max;game;Mad Max;friend_resale_price;high;1499;1200;1042.0;700;1499;1500;Mad Max
game:murdered_soul_suspect;game;Murdered Soul Suspect;friend_resale_price;high;1499;1200;1042.0;700;1499;1850;Murdered Soul Suspect
game:atomic_heart;game;Atomic Heart;friend_resale_price;high;1799;1450;1269.5;950;1799;2550;атомик харт | Atomic Heart
game:assetto_corsa;game;Assetto Corsa;friend_resale_price;high;1499;1200;1042.0;700;1499;2750;asseto corsa | Assetto Corsa
game:assassin_s_creed_black_flag;game;Assassin S Creed Black Flag;friend_resale_price;high;1399;1100;951.0;650;1399;1900;assassin creed черный флаг | assassins creed black flag | черный флаг | Assassin S Creed Black Flag
game:god_of_war_3_ps;game;God Of War 3 Ps;shop_median_price;low;1300;1050;905.5;600;;1300;God Of War 3 Ps
game:resident_evil;game;Resident Evil;shop_median_price;medium;1700;1350;1178.5;850;;1700;Resident Evil
game:assassin_s_creed;game;Assassin S Creed;shop_median_price;medium;1500;1200;1042.0;700;;1500;Assassin S Creed
game:minecraft;game;Minecraft;shop_median_price;medium;2400;1900;1679.0;1350;;2400;Minecraft
game:e_obek_ayk;game;Человек Паук;shop_median_price;medium;1900;1500;1315.0;1000;;1900;Человек Паук
game:cyberpunk;game;Cyberpunk;shop_median_price;medium;2000;1600;1406.0;1100;;2000;Cyberpunk
game:mortal_kombat_x;game;Mortal Kombat X;shop_median_price;medium;1500;1200;1042.0;700;;1500;Mortal Kombat X
game:the_last_of_us;game;The Last Of Us;shop_median_price;medium;1900;1500;1315.0;1000;;1900;The Last Of Us
game:lego_star_wars;game;Lego Star Wars;shop_median_price;medium;1600;1300;1133.0;800;;1600;Lego Star Wars
game:batman;game;Batman;shop_median_price;medium;1500;1200;1042.0;700;;1500;Batman
game:gran_turismo_7_ps;game;Gran Turismo 7 Ps;shop_median_price;medium;2400;1900;1679.0;1350;;2400;Gran Turismo 7 Ps
game:be_mak;game;Ведьмак;shop_median_price;medium;2050;1650;1451.5;1150;;2050;Ведьмак
game:watch_dogs;game;Watch Dogs;shop_median_price;medium;1500;1200;1042.0;700;;1500;Watch Dogs
game:ratchet_clank;game;Ratchet Clank;shop_median_price;low;1250;1000;860.0;550;;1250;Ratchet Clank
game:spider_man;game;Spider Man;shop_median_price;medium;2018;1600;1406.0;1100;;2018;Spider Man
game:tekken;game;Tekken;shop_median_price;medium;1850;1500;1315.0;1000;;1850;Tekken
game:ea_fc_26_pyc_oka_a;game;Еа Fс 26 Рус Локализация;shop_median_price;medium;3999;3200;2862.0;2550;;3999;Еа Fс 26 Рус Локализация
game:dragon_age;game;Dragon Age;shop_median_price;medium;1400;1100;951.0;650;;1400;Dragon Age
game:the_order;game;The Order;shop_median_price;medium;1886;1500;1315.0;1000;;1886;The Order
game:god_of_war_3_remastered;game;God Of War 3 Remastered;shop_median_price;low;1300;1050;905.5;600;;1300;God Of War 3 Remastered
game:last_of_us;game;Last Of Us;shop_median_price;medium;1400;1100;951.0;650;;1400;Last Of Us
game:bloodborn;game;Bloodborn;shop_median_price;low;1100;900;769.0;450;;1100;Bloodborn
game:lego_2k_drive;game;Lego 2k Drive;shop_median_price;low;1445;1150;996.5;650;;1445;Lego 2k Drive
game:elden_ring_ps;game;Elden Ring Ps;shop_median_price;medium;2000;1600;1406.0;1100;;2000;Elden Ring Ps
game:horizon_zero_dawn;game;Horizon Zero Dawn;shop_median_price;medium;750;600;496.0;150;;750;Horizon Zero Dawn
game:the_crew;game;The Crew;shop_median_price;medium;1200;950;814.5;500;;1200;The Crew
game:hogwarts_legacy_ps;game;Hogwarts Legacy Ps;shop_median_price;medium;1800;1450;1269.5;950;;1800;Hogwarts Legacy Ps
game:diablo;game;Diablo;shop_median_price;medium;2990;2400;2134.0;1800;;2990;Diablo
