id;canonical_name;aliases;category;priority;confidence;friend_resale_price_rub;shop_median_rub;db_match_count;sort_weight
it_takes_two;It Takes Two;it take two | takes two | it takes 2 | ит тейкс ту | ит тейкс 2 | ит тейк ту | нужны двое | нужен второй;expensive;high;high;1899;2600;3;763
resident_evil_3_remake;Resident Evil 3 Remake;resident evil 3 | re3 remake | re 3 remake | re3;expensive;high;high;;;118;758
call_of_duty_black_ops_4;Call of Duty Black Ops 4;call of duty black ops iv | cod black ops 4 | cod bo4 | black ops 4 | black ops iv | bo4;call_of_duty;high;high;;;115;755
far_cry_6;Far Cry 6;farcry 6 | farcry6 | фар край 6 | фаркрай 6;expensive;high;high;;;107;747
gran_turismo_7;Gran Turismo 7;grand turismo 7 | gt7;expensive;high;high;;;105;745
the_last_of_us_part_ii;The Last of Us Part II;the last of us 2 remastered | the last of us 2 | last of us 2 | tlou 2;expensive;high;high;;4000;105;745
the_last_of_us_remastered;The Last of Us Remastered;last of us remastered | the last of us 1 | last of us 1;expensive;high;high;;;103;743
dark_souls_2_scholar_of_the_first_sin;Dark Souls 2 Scholar of the First Sin;dark souls ii scholar of the first sin | dark souls 2 | dark souls ii | scholar of the first sin;expensive;high;high;;;100;740
dark_souls_3;Dark Souls 3;dark souls iii | dark souls 3 the fire fades | the fire fades edition;expensive;high;high;;;92;732
resident_evil_village;Resident Evil Village;resident evil 8 | re village | re8 | village resident evil;expensive;high;high;;1950;77;717
tomb_raider_definitive_edition;Tomb Raider Definitive Edition;tomb raider definitive | tomb raider ps4 | лара крофт definitive edition | лара крофт tomb raider | томб райдер definitive edition;expensive;high;high;;;76;716
call_of_duty_black_ops_6;Call of Duty Black Ops 6;cod black ops 6 | cod bo6 | black ops 6 | bo6;call_of_duty;high;high;;;72;712
bloodborne;Bloodborne;bloodborne goty | bloodborne game of the year;expensive;high;high;;1100;67;707
dying_light;Dying Light;dying light enhanced edition | dying light the following | даинг лайт | даинглайт | дайинг лайт | dlight;expensive;high;high;;2500;60;700
dark_souls_trilogy;Dark Souls Trilogy;dark souls трилогия | дарк соулс трилогия | соулсы трилогия;expensive;high;high;;2950;53;693
crash_team_racing_nitro_fueled;Crash Team Racing Nitro-Fueled;ctr nitro fueled | ctr crash nitro fueled | crash racing | crash team racing | краш гонки | краш тим рейсинг;expensive;high;high;;;52;692
assassin_s_creed_valhalla;Assassin S Creed Valhalla;assassins creed valhalla | assassin creed valhalla | ac valhalla | ас вальгалла | ассасин крид вальгалла | ассассин крид вальгалла;expensive;high;high;;1550;51;691
call_of_duty_black_ops_cold_war;Call Of Duty Black Ops Cold War;cod cold war | black ops cold war | cold war | bo cold war;call_of_duty;high;high;;2250;42;682
sekiro_shadows_die_twice;Sekiro Shadows Die Twice;sekiro | sekiro ps4;expensive;high;high;;;35;675
call_of_duty_vanguard;Call Of Duty Vanguard;cod vanguard | vanguard ps4 | vanguard ps5;call_of_duty;high;high;;2745;30;670
silent_hill_2;Silent Hill 2;silent hill 2 remake;expensive;high;high;;;30;670
sonic_frontiers;Sonic Frontiers;соник фронтирс | соник фронтиерс;expensive;high;high;;2800;30;670
call_of_duty_ghosts;Call Of Duty Ghosts;cod ghosts | cod ghost | ghosts ps4;call_of_duty;high;high;;1900;26;666
bloodborne_game_of_the_year_edition;Bloodborne Game Of The Year Edition;bloodborne goty | bloodborne game of the year | бладборн game of the year | бладборн goty;expensive;high;high;;1800;21;661
persona_5_royal;Persona 5 Royal;persona 5 | p5 royal;expensive;high;high;;;21;661
sniper_ghost_warrior_contracts_2;Sniper Ghost Warrior Contracts 2;sniper contracts 2 | sniper ghost contracts 2;expensive;high;high;;;21;661
ufc;UFC;;price_map;high;high;899;;0;660
call_of_duty_modern_warfare;Call Of Duty Modern Warfare;cod modern warfare | modern warfare 2019 | mw 2019 | mw2019 | modern warfare ps4;call_of_duty;high;high;;2500;19;659
call_of_duty_wwii;Call Of Duty Wwii;call of duty ww2 | cod wwii | cod ww2 | wwii ps4 | ww2 ps4 | world war ii;call_of_duty;high;high;;3500;16;656
dying_light_2_stay_human;Dying Light 2 Stay Human;dying light 2 | dying light stay human | даинг лайт 2 | даинглайт 2 | дайинг лайт 2 | stay human;expensive;high;high;;2200;16;656
armored_core_vi_fires_of_rubicon;Armored Core VI Fires of Rubicon;armored core vi | armored core 6 | armored core fires of rubicon;expensive;high;high;;;15;655
stellar_blade;Stellar Blade;;expensive;high;high;;;15;655
stray;Stray;stray ps4 | stray ps5 | стрей | страй;expensive;high;high;;;12;652
crash_bandicoot_n_sane_trilogy;Crash Bandicoot N Sane Trilogy;crash bandicoot trilogy | crash trilogy;expensive;high;high;;2095;10;650
death_stranding;Death Stranding;дес стрендинг | дез стрендинг | деф стрендинг;expensive;high;high;;3395;4;644
final_fantasy_xv_royal_edition;Final Fantasy Xv Royal Edition;final fantasy 15 royal edition | ff xv royal | ff15 royal;expensive;high;high;;1900;3;643
lego_batman_3_beyond_gotham;Lego Batman 3 Beyond Gotham;lego batman beyond gotham | lego batman 3 | лего бэтмен 3 | лего бэтмен за пределами готэма;lego;normal;high;;;93;643
slime_rancher_deluxe_edition;Slime Rancher Deluxe Edition;slime rancher | слайм ранчер | слайм ранчер deluxe | слайм ренчер;expensive;high;high;;;3;643
the_binding_of_isaac_repentance;The Binding of Isaac Repentance;binding of isaac repentance | binding isaac repentance | isaac repentance | айзек repentance | биндинг оф айзек | зэ байндинг оф айзек;expensive;high;high;;;0;640
lego_marvel_super_heroes_2;Lego Marvel Super Heroes 2;лего марвел супер герои 2 | lego marvel superheroes 2;lego;normal;high;;;59;609
lego_marvel_avengers;Lego Marvel Avengers;lego avengers | лего марвел мстители | лего мстители;lego;normal;high;;;58;608
nhl_24;NHL 24;нхл 24 | нхл24;sports;normal;high;;;57;607
lego_worlds;Lego Worlds;лего ворлдс | лего миры;lego;normal;high;;1400;55;605
the_witcher_3_game_of_the_year;The Witcher 3 Game of the Year;ведьмак 3 игра года | witcher 3 game of the year;uncategorized;normal;high;1499;;34;604
the_witcher_3_wild_hunt;The Witcher 3 Wild Hunt;ведьмак 3 дикая охота | witcher 3 wild hunt;uncategorized;normal;high;1299;;34;604
nhl_22;NHL 22;нхл 22 | нхл22;sports;normal;high;;;52;602
god_of_war_3;God of War 3;god of war 3 remastered | god of war 3 remastered (без коробки | бог войны 3;uncategorized;normal;high;999;1250;30;600
nhl_19;NHL 19;нхл 19 | нхл19;sports;normal;high;;;50;600
nhl_25;NHL 25;нхл 25 | нхл25;sports;normal;high;;;50;600
nhl_20;NHL 20;нхл 20 | нхл20;sports;normal;high;;;49;599
lego_marvel_super_heroes;Lego Marvel Super Heroes;лего марвел супер герои | lego marvel superheroes;lego;normal;high;;1400;47;597
nba_2k23;NBA 2K23;nba2k23 | nba 23 | нба 2к23 | нба2к23;sports;normal;high;;;45;595
nhl_23;NHL 23;нхл 23 | нхл23;sports;normal;high;;;45;595
nhl_21;NHL 21;нхл 21 | нхл21;sports;normal;high;;;43;593
far_cry_5;Far Cry 5;far cry 5 (без коробки;uncategorized;normal;high;1099;1000;20;590
infamous_first_light;Infamous First Light;первый свет;uncategorized;normal;high;2999;;19;589
lego_city_undercover;Lego City Undercover;лего сити андеркавер | лего город undercover;lego;normal;high;;1600;39;589
nhl_18;NHL 18;нхл 18 | нхл18;sports;normal;high;;;39;589
nhl_16;NHL 16;нхл 16 | нхл16;sports;normal;high;;;38;588
nhl_17;NHL 17;нхл 17 | нхл17;sports;normal;high;;;37;587
lego_movie_2_videogame;Lego Movie 2 Videogame;lego movie 2 video game | лего фильм 2 | lego movie 2;lego;normal;high;;;35;585
lego_movie_videogame;Lego Movie Videogame;lego movie video game | лего фильм игра | lego movie;lego;normal;high;;;35;585
mortal_kombat_11;Mortal Kombat 11;mortal kombat 11 (бесплатный апгрейд | mk11 | Mortal Kombat 11 (бесплатный PS5 апгрейд;uncategorized;normal;high;1699;1700;15;585
nhl_15;NHL 15;нхл 15 | нхл15;sports;normal;high;;;35;585
uncharted_4;Uncharted 4;uncharted 4 путь вора;uncategorized;normal;high;899;1500;15;585
lego_dc_super_villains;Lego Dc Super Villains;lego super villains | лего супер злодеи | лего дс супер злодеи;lego;normal;high;;1650;32;582
lego_jurassic_world;Lego Jurassic World;лего мир юрского периода | лего юрский мир;lego;normal;high;;;31;581
gta_5;GTA 5;gta 5: premium edition | gta 5 ps | grand theft auto v gta | grand theft auto v | гта 5;uncategorized;normal;high;1299;2000;9;579
fallout_4;Fallout 4;;uncategorized;normal;high;2599;;8;578
lego_star_wars_the_skywalker_saga;Lego Star Wars The Skywalker Saga;lego skywalker saga | lego звездные войны скайуокер сага | лего скайуокер сага;lego;normal;high;;2400;28;578
battlefield_5;Battlefield 5;battlefield v;uncategorized;normal;high;1499;;7;577
uncharted_collection;Uncharted Collection;uncharted коллекция | nathan drake collection;uncategorized;normal;high;1299;;7;577
fifa_19;FIFA 19;fifa 2019;uncategorized;normal;high;999;;5;575
battlefield_2042;Battlefield 2042;;uncategorized;normal;high;1199;;4;574
lego_harry_potter_collection;Lego Harry Potter Collection;lego harry potter | лего гарри поттер | гарри поттер лего;lego;normal;high;;1445;24;574
borderlands_3;Borderlands 3;;uncategorized;normal;high;899;;3;573
gran_turismo_sport_no_cover;Gran Turismo Sport no cover;gran turismo sport без обложки | grand turismo sport без обложки;uncategorized;normal;high;499;;3;573
hitman_2;Hitman 2;;uncategorized;normal;high;1999;;3;573
rise_of_the_tomb_raider;Rise of the Tomb Raider;rise of tomb raider;uncategorized;normal;high;1399;;3;573
fnaf_security_breach;FNAF Security Breach;five nights at freddy security breach;uncategorized;normal;high;1599;;2;572
horizon_zero_dawn_sealed;Horizon Zero Dawn sealed;horizon zero dawn запечатанный | horizon zero dawn новый;uncategorized;normal;high;1199;;2;572
uncharted_lost_legacy;Uncharted Lost Legacy;uncharted утраченное наследие;uncategorized;normal;high;1199;;2;572
world_of_warriors;World of Warriors;;uncategorized;normal;high;1399;;2;572
gta_5_sealed;GTA 5 sealed;gta 5 заводской упаковке | гта 5 заводской упаковке | gta 5 запечатанный;uncategorized;normal;high;1599;;1;571
lego_avengers;Lego Avengers;;uncategorized;normal;high;999;;1;571
shadow_of_the_colossus;Shadow of the Colossus;shadow of colossus;uncategorized;normal;high;1499;;1;571
battlefield_1_revolution;Battlefield 1 Revolution;battlefield 1 революция;uncategorized;normal;high;1199;;0;570
final_fantasy_15_royal_edition;Final Fantasy 15 Royal Edition;final fantasy xv royal edition;uncategorized;normal;high;1099;;0;570
knack;Knack;;uncategorized;normal;high;1499;;0;570
lego_batman_beyond_gotham;Lego Batman Beyond Gotham;;uncategorized;normal;high;1099;;0;570
sniper_contracts_2;Sniper Contracts 2;sniper ghost warrior contracts 2;uncategorized;normal;high;1799;;0;570
uncharted_drake_s_fortune;Uncharted Drake's Fortune;uncharted drakes fortune;uncategorized;normal;high;1299;;0;570
lego_ninjago_movie_video_game;Lego Ninjago Movie Video Game;lego ninjago | лего ниндзяго | ninjago lego;lego;normal;high;;;18;568
lego_the_incredibles;Lego The Incredibles;lego incredibles | лего суперсемейка | лего супер семейка;lego;normal;high;;;10;560
fast_and_furious_crossroads;Fast & Furious Crossroads;fast furious crossroads | форсаж перекрестки | форсаж crossroads;uncategorized;normal;high;;;7;557
lego_star_wars_the_force_awakens;Lego Star Wars The Force Awakens;lego star wars force awakens | lego звездные войны пробуждение силы | лего звездные войны пробуждение силы;lego;normal;high;;;6;556
zero_tolerance_collection;Zero Tolerance Collection;zero tolerance collection special limited edition | zero tolerance special limited edition;uncategorized;normal;high;;;0;550
dualsense_controller;DualSense Controller;DualSense | PS5 controller | Sony PS5 controller | Original PS5 controller | геймпад ps5 | геймпад пс5 | джойстик ps5 | джойстик пс5 | dualsense геймпад | дуалсенс;controller;high;high;;;0;540
dualshock_4_original_controller;DualShock 4 Original Controller;DualShock 4 | DualShock 4 original | DS4 | PS4 controller original | Original PS4 controller | Sony PS4 controller | геймпад ps4 оригинал | геймпад пс4 оригинал | джойстик ps4 оригинал | джойстик пс4 оригинал | оригинальный геймпад ps4 | оригинальный джойстик ps4 | dualshock 4 оригинал | дуалшок 4;controller;high;high;;;0;540
playstation_3_slim;PlayStation 3 Slim;PS3 Slim | Sony PS3 Slim | PS 3 Slim | пс3 слим | пс 3 слим | плейстейшен 3 слим;console;high;high;;;0;540
playstation_3_super_slim;PlayStation 3 Super Slim;PS3 Super Slim | Sony PS3 Super Slim | PS 3 Super Slim | PS3 superslim | пс3 супер слим | пс 3 супер слим | плейстейшен 3 супер слим;console;high;high;;;0;540
playstation_4_fat;PlayStation 4 Fat;PS4 Fat | PS4 Phat | PlayStation 4 Phat | Sony PlayStation 4 Fat | Sony PS4 Fat | PS 4 Fat | PS4 500GB Fat | PS4 500 GB Fat | PS4 500GB | PS4 500 GB | CUH-1000 | CUH-1100 | CUH-1200 | CUH-1216A | пс4 фат | пс 4 фат | плойка фат | плейстейшен 4 фат | приставка ps4 fat | приставка пс4 фат;console;high;high;;;0;540
playstation_4_pro;PlayStation 4 Pro;PS4 Pro | Sony PlayStation 4 Pro | Sony PS4 Pro | PS 4 Pro | PS4 Pro 1TB | PS4 Pro 1 TB | CUH-7000 | CUH-7100 | CUH-7200 | CUH-7216B | пс4 про | пс 4 про | плойка про | плейстейшен 4 про | приставка ps4 pro | приставка пс4 про;console;high;high;;;0;540
playstation_4_slim;PlayStation 4 Slim;PS4 Slim | Sony PlayStation 4 Slim | Sony PS4 Slim | PS 4 Slim | PS4 Slim 500GB | PS4 Slim 500 GB | PS4 Slim 1TB | PS4 Slim 1 TB | CUH-2000 | CUH-2100 | CUH-2200 | CUH-2216A | CUH-2216B | пс4 слим | пс 4 слим | плойка слим | плейстейшен 4 слим | приставка ps4 slim | приставка пс4 слим;console;high;high;;;0;540
playstation_5;PlayStation 5;PS5 | Sony PlayStation 5 | Sony PS5 | PS 5 | PS5 Disc | PS5 с дисководом | PS5 fat | пс5 | пс 5 | плойка 5 | плейстейшен 5 | приставка ps5 | приставка пс5;console;high;high;;;0;540
playstation_5_digital_edition;PlayStation 5 Digital Edition;PS5 Digital | PS5 Digital Edition | Sony PS5 Digital | PS5 без дисковода | пс5 digital | пс5 без дисковода | плейстейшен 5 без дисковода;console;high;high;;;0;540
playstation_5_pro;PlayStation 5 Pro;PS5 Pro | Sony PlayStation 5 Pro | Sony PS5 Pro | PS 5 Pro | пс5 про | пс 5 про | плойка 5 про | плейстейшен 5 про;console;high;high;;;0;540
playstation_5_slim;PlayStation 5 Slim;PS5 Slim | Sony PlayStation 5 Slim | Sony PS5 Slim | PS 5 Slim | PS5 Slim Disc | PS5 Slim Digital | пс5 слим | пс 5 слим | плойка 5 слим | плейстейшен 5 слим;console;high;high;;;0;540
playstation_camera;PlayStation Camera;PS Camera | PS4 Camera | Sony PlayStation Camera | kamepa ps4 | камера пс4 | kamepa playstation | playstation camera ps4;camera;high;high;;;0;540
playstation_move_controller;PlayStation Move Controller;PS Move | PlayStation Move | Move controller | PS Move controller | мув контроллер | ps move контроллер | playstation move контроллер;controller;high;high;;;0;540
playstation_vr;PlayStation VR;PS VR | PSVR | PlayStation VR headset | PS4 VR | очки виртуальной реальности ps4 | vr очки ps4 | шлем ps vr | шлем playstation vr;vr;high;high;;;0;540
playstation_wireless_headset;PlayStation Wireless Headset;PS wireless headset | PS4 headset | Sony Gold Wireless Headset | Gold Wireless Headset | гарнитура ps4 | наушники ps4 | беспроводная гарнитура playstation;headset;high;high;;;0;540
ps4_charging_station;PS4 Charging Station;DualShock 4 charging station | PS4 controller charger | зарядная станция ps4 | зарядка для геймпадов ps4 | зарядка dualshock 4 | док станция ps4;charger;high;high;;;0;540
ps4_third_party_controller;PS4 Third-Party Controller;PS4 controller third party | PS4 controller copy | PS4 controller non original | non-original PS4 controller | third party PS4 controller | геймпад ps4 не оригинал | геймпад пс4 не оригинал | джойстик ps4 не оригинал | джойстик пс4 не оригинал | неоригинальный геймпад ps4 | неоригинальный джойстик ps4 | копия геймпада ps4 | аналог dualshock 4;controller;high;high;;;0;540
far_cry_3;Far Cry 3;far cry 3-1200/;uncategorized;normal;high;;2000;20;470
far_cry_4;Far Cry 4;far cry 4-1000/;uncategorized;normal;high;;1700;20;470
fifa_23;FIFA 23;fifa 23 ps;uncategorized;normal;high;;1500;5;455
metro_exodus;Metro Exodus;метро исход;uncategorized;normal;candidate;1399;2000;54;454
diablo_3;Diablo 3;diablo 3 reaper souls;uncategorized;normal;high;;2000;3;453
ufc_2;UFC 2;ufc 2 (без коробки;uncategorized;normal;high;;1300;1;451
marvel_avengers;Marvel Avengers;avengers | мстители;uncategorized;normal;candidate;1499;1400;50;450
shadow_of_the_tomb_raider;Shadow Of The Tomb Raider;shadow of tomb raider;uncategorized;normal;candidate;1299;2250;49;449
days_gone;Days Gone;gays gone | жизнь после;uncategorized;normal;candidate;1899;2100;44;444
need_for_speed_rivals;Need For Speed Rivals;nfs rivals;uncategorized;normal;candidate;1399;1245;42;442
mass_effect_andromeda;Mass Effect Andromeda;;uncategorized;normal;candidate;1299;1500;28;428
horizon_zero_dawn_complete_edition;Horizon Zero Dawn Complete Edition;horizon zero dawn;uncategorized;normal;candidate;999;700;27;427
gran_turismo_sport;Gran Turismo Sport;grand turismo sport;uncategorized;normal;candidate;699;950;20;420
infamous_second_son;Infamous Second Son;;uncategorized;normal;candidate;799;1000;18;418
call_of_duty_mw;Call Of Duty Mw;;uncategorized;normal;candidate;;3000;130;410
call_of_duty_ww;Call Of Duty Ww;;uncategorized;normal;candidate;;2400;130;410
mad_max;Mad Max;;uncategorized;normal;candidate;1499;1500;10;410
murdered_soul_suspect;Murdered Soul Suspect;;uncategorized;normal;candidate;1499;1850;7;407
atomic_heart;Atomic Heart;атомик харт;uncategorized;normal;candidate;1799;2550;6;406
assetto_corsa;Assetto Corsa;asseto corsa;uncategorized;normal;candidate;1499;2750;3;403
assassin_s_creed_black_flag;Assassin S Creed Black Flag;assassin creed черный флаг | assassins creed black flag | черный флаг;uncategorized;normal;candidate;1399;1900;2;402
god_of_war_3_ps;God Of War 3 Ps;;uncategorized;normal;candidate;;1300;121;401
resident_evil;Resident Evil;;uncategorized;normal;candidate;;1700;113;393
assassin_s_creed;Assassin S Creed;;uncategorized;normal;candidate;;1500;103;383
minecraft;Minecraft;;uncategorized;normal;candidate;;2400;96;376
e_obek_ayk;Человек Паук;;uncategorized;normal;candidate;;1900;95;375
cyberpunk;Cyberpunk;;uncategorized;normal;candidate;;2000;91;371
mortal_kombat_x;Mortal Kombat X;;uncategorized;normal;candidate;;1500;90;370
the_last_of_us;The Last Of Us;;uncategorized;normal;candidate;;1900;89;369
lego_star_wars;Lego Star Wars;;uncategorized;normal;candidate;;1600;88;368
batman;Batman;;uncategorized;normal;candidate;;1500;85;365
gran_turismo_7_ps;Gran Turismo 7 Ps;;uncategorized;normal;candidate;;2400;83;363
be_mak;Ведьмак;;uncategorized;normal;candidate;;2050;82;362
watch_dogs;Watch Dogs;;uncategorized;normal;candidate;;1500;81;361
ratchet_clank;Ratchet Clank;;uncategorized;normal;candidate;;1250;78;358
spider_man;Spider Man;;uncategorized;normal;candidate;;2018;77;357
tekken;Tekken;;uncategorized;normal;candidate;;1850;77;357
ea_fc_26_pyc_oka_a;Еа Fс 26 Рус Локализация;;uncategorized;normal;candidate;;3999;77;357
dragon_age;Dragon Age;;uncategorized;normal;candidate;;1400;76;356
the_order;The Order;;uncategorized;normal;candidate;;1886;76;356
god_of_war_3_remastered;God Of War 3 Remastered;;uncategorized;normal;candidate;;1300;75;355
last_of_us;Last Of Us;;uncategorized;normal;candidate;;1400;74;354
bloodborn;Bloodborn;;uncategorized;normal;candidate;;1100;72;352
lego_2k_drive;Lego 2k Drive;;uncategorized;normal;candidate;;1445;72;352
elden_ring_ps;Elden Ring Ps;;uncategorized;normal;candidate;;2000;71;351
horizon_zero_dawn;Horizon Zero Dawn;;uncategorized;normal;candidate;;750;70;350
the_crew;The Crew;;uncategorized;normal;candidate;;1200;70;350
hogwarts_legacy_ps;Hogwarts Legacy Ps;;uncategorized;normal;candidate;;1800;69;349
diablo;Diablo;;uncategorized;normal;candidate;;2990;67;347
diablo_iv;Diablo IV;;uncategorized;normal;candidate;;3095;67;347
o_t_o_paccbeta;Дожить До Рассвета;;uncategorized;normal;candidate;;1250;67;347
p_pak_yc_m;Призрак Цусимы;;uncategorized;normal;candidate;;2000;67;347
god_of_war_ragnarok_ps;God Of War Ragnarok Ps;;uncategorized;normal;candidate;;1150;66;346
snow_runner;Snow Runner;;uncategorized;normal;candidate;;2200;66;346
final_fantasy;Final Fantasy;;uncategorized;normal;candidate;;1250;65;345
final_fantasy_xv;Final Fantasy Xv;;uncategorized;normal;candidate;;1500;65;345
final_fantasy_xv_final_fantasy;Final Fantasy Xv Final Fantasy;;uncategorized;normal;candidate;;1000;65;345
evil_west;Evil West;;uncategorized;normal;candidate;;2000;63;343
minecraft_legends;Minecraft Legends;;uncategorized;normal;candidate;;2000;63;343
sniper_elite;Sniper Elite;;uncategorized;normal;candidate;;2650;63;343
borderlands;Borderlands;;uncategorized;normal;candidate;;1200;61;341
borderlands_3_ps;Borderlands 3 Ps;;uncategorized;normal;candidate;;1300;61;341
little_nightmares;Little Nightmares;;uncategorized;normal;candidate;;1590;61;341
little_nightmares_1;Littlе Nightmаrеs 1 И;;uncategorized;normal;candidate;;3000;61;341
mortal_kombat_11_ultimate;Mortal Kombat 11 Ultimate;;uncategorized;normal;candidate;;1800;59;339
tomb_raider;Tomb Raider;;uncategorized;normal;candidate;;1750;59;339
gran_turismo_sport_ps;Gran Turismo Sport Ps;;uncategorized;normal;candidate;;600;58;338
fc_26_ps4_hob;Fс 26 Рs4 Новый;;uncategorized;normal;candidate;;4000;57;337
mafia_definitive_edition;Mafia Definitive Edition;;uncategorized;normal;candidate;;1500;57;337
mafia_definitive_edition_ps;Mafia Definitive Edition Ps;;uncategorized;normal;candidate;;1200;57;337
dead_island;Dead Island;;uncategorized;normal;candidate;;1800;56;336
dying_light_ps;Dying Light Ps;;uncategorized;normal;candidate;;2400;56;336
gta_trilogy;Gta Trilogy;;uncategorized;normal;candidate;;1550;55;335
wolfenstein;Wolfenstein;;uncategorized;normal;candidate;;2500;55;335
metro_exodus_ps;Metro Exodus Ps;;uncategorized;normal;candidate;;1500;54;334
metro_redux;Metro Redux;;uncategorized;normal;candidate;;2000;54;334
rayman_legends;Rayman Legends;;uncategorized;normal;candidate;;1850;54;334
call_of_duty_cold_war;Call Of Duty Cold War;;uncategorized;normal;candidate;;2500;53;333
far_cry_primal;Far Cry Primal;;uncategorized;normal;candidate;;1000;53;333
btopo_c_h;Второй Сын;;uncategorized;normal;candidate;;1000;53;333
drive_club;Drive Club;;uncategorized;normal;candidate;;950;52;332
horizon_forbidden_west;Horizon Forbidden West;;uncategorized;normal;candidate;;2600;51;331
horizon_forbidden_west_ps;Horizon Forbidden West Ps;;uncategorized;normal;candidate;;2500;51;331
diablo_3_ultimate_evil_edition;Diablo 3 Ultimate Evil Edition;;uncategorized;normal;candidate;;2500;50;330
dead_space;Dead Space;;uncategorized;normal;candidate;;2200;49;329
far_cry_new_dawn;Far Cry New Dawn;;uncategorized;normal;candidate;;1400;48;328
ea_fc_24_o_hoct_ha_pyc;Еа Fс 24 Полностью На Рус;Еа FС 24 ( FIFА 24) полностью на рус;uncategorized;normal;candidate;;3299;48;328
horizon_complete_ps;Horizon Complete Ps;;uncategorized;normal;candidate;;700;47;327
just_cause;Just Cause;;uncategorized;normal;candidate;;1300;47;327
division;Division;;uncategorized;normal;candidate;;900;45;325
horizon_complete_edition;Horizon Complete Edition;;uncategorized;normal;candidate;;600;45;325
