term;normalized;game_id;item_id;item_type;canonical_name;weight
киберпанк 2077;kибepпahk 2077;cyberpunk_2077;cyberpunk_2077;game;Cyberpunk 2077;866
Skyrim;skyrim;skyrim;skyrim;game;Skyrim;866
skyrim anniversary edition;skyrim anniversary edition;skyrim;skyrim;game;Skyrim;866
skyrim special edition;skyrim special edition;skyrim;skyrim;game;Skyrim;866
skyrim v;skyrim v;skyrim;skyrim;game;Skyrim;866
🎮the elder scrolls v: skyrim;the elder scrolls v skyrim;skyrim;skyrim;game;Skyrim;866
black ops 3;black ops 3;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
black ops iii;black ops iii;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
bo3;bo3;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
Call of Duty Black Ops 3;call of duty black ops 3;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
call of duty black ops iii;call of duty black ops iii;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
cod black ops 3;cod black ops 3;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
cod bo3;cod bo3;call_of_duty_black_ops_3;call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;859
far cry 4;far cry 4;far_cry_4_limited_edition;far_cry_4_limited_edition;game;Far Cry 4 Limited Edition;856
far cry 4 limited;far cry 4 limited;far_cry_4_limited_edition;far_cry_4_limited_edition;game;Far Cry 4 Limited Edition;856
Far Cry 4 Limited Edition;far cry 4 limited edition;far_cry_4_limited_edition;far_cry_4_limited_edition;game;Far Cry 4 Limited Edition;856
L.A. Noire;l a noire;l_a_noire;l_a_noire;game;L.A. Noire;838
la noire;la noire;l_a_noire;l_a_noire;game;L.A. Noire;838
Elden Ring;elden ring;elden_ring;elden_ring;game;Elden Ring;831
elden ring ps4;elden ring ps4;elden_ring;elden_ring;game;Elden Ring;831
elden ring ps5;elden ring ps5;elden_ring;elden_ring;game;Elden Ring;831
Hogwarts Legacy;hogwarts legacy;hogwarts_legacy;hogwarts_legacy;game;Hogwarts Legacy;829
hogwarts ps4;hogwarts ps4;hogwarts_legacy;hogwarts_legacy;game;Hogwarts Legacy;829
hogwarts ps5;hogwarts ps5;hogwarts_legacy;hogwarts_legacy;game;Hogwarts Legacy;829
хогвартс legacy;xoгbaptc legacy;hogwarts_legacy;hogwarts_legacy;game;Hogwarts Legacy;829
хогвартс легаси;xoгbaptc лeгacи;hogwarts_legacy;hogwarts_legacy;game;Hogwarts Legacy;829
обитель зла 6;oбиteль злa 6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
резик 6;peзиk 6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
резидент ивел 6;peзидeht иbeл 6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
резидент эвил 6;peзидeht эbил 6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
re 6;re 6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
re6;re6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
Resident Evil 6;resident evil 6;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
resident evil vi;resident evil vi;resident_evil_6;resident_evil_6;game;Resident Evil 6;827
god of war ragnarek;god of war ragnarek;god_of_war_ragnarok;god_of_war_ragnarok;game;God Of War Ragnarok;826
God Of War Ragnarok;god of war ragnarok;god_of_war_ragnarok;god_of_war_ragnarok;game;God Of War Ragnarok;826
ragnarok ps4;ragnarok ps4;god_of_war_ragnarok;god_of_war_ragnarok;game;God Of War Ragnarok;826
ragnarok ps5;ragnarok ps5;god_of_war_ragnarok;god_of_war_ragnarok;game;God Of War Ragnarok;826
бог войны рагнарок;бoг boйhы paгhapok;god_of_war_ragnarok;god_of_war_ragnarok;game;God Of War Ragnarok;826
Spider-Man Game of the Year;spider man game of the year;spider_man_game_of_the_year;spider_man_game_of_the_year;game;Spider-Man Game of the Year;815
spider-man goty;spider man goty;spider_man_game_of_the_year;spider_man_game_of_the_year;game;Spider-Man Game of the Year;815
человек паук издание игра года;чeлobek пayk издahиe игpa гoдa;spider_man_game_of_the_year;spider_man_game_of_the_year;game;Spider-Man Game of the Year;815
sims 4;sims 4;the_sims_4;the_sims_4;game;The Sims 4;803
The Sims 4;the sims 4;the_sims_4;the_sims_4;game;The Sims 4;803
Ghost Of Tsushima;ghost of tsushima;ghost_of_tsushima;ghost_of_tsushima;game;Ghost Of Tsushima;802
ghost of tushima;ghost of tushima;ghost_of_tsushima;ghost_of_tsushima;game;Ghost Of Tsushima;802
ghost tsushima;ghost tsushima;ghost_of_tsushima;ghost_of_tsushima;game;Ghost Of Tsushima;802
призрак цусимы;пpизpak цycиmы;ghost_of_tsushima;ghost_of_tsushima;game;Ghost Of Tsushima;802
Call Of Duty Infinite Warfare;call of duty infinite warfare;call_of_duty_infinite_warfare;call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;800
cod infinite warfare;cod infinite warfare;call_of_duty_infinite_warfare;call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;800
infinite warfare;infinite warfare;call_of_duty_infinite_warfare;call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;800
infiniti warfare;infiniti warfare;call_of_duty_infinite_warfare;call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;800
infinity warfare;infinity warfare;call_of_duty_infinite_warfare;call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;800
legacy edition infinite warfare;legacy edition infinite warfare;call_of_duty_infinite_warfare;call_of_duty_infinite_warfare;game;Call Of Duty Infinite Warfare;800
майлз моралес;maйлз mopaлec;spider_man_miles_morales;spider_man_miles_morales;game;Spider Man Miles Morales;798
miles morales;miles morales;spider_man_miles_morales;spider_man_miles_morales;game;Spider Man Miles Morales;798
Spider Man Miles Morales;spider man miles morales;spider_man_miles_morales;spider_man_miles_morales;game;Spider Man Miles Morales;798
mafia 1 2 3;mafia 1 2 3;mafia_trilogy;mafia_trilogy;game;Mafia Trilogy;790
mafia definitive trilogy;mafia definitive trilogy;mafia_trilogy;mafia_trilogy;game;Mafia Trilogy;790
Mafia Trilogy;mafia trilogy;mafia_trilogy;mafia_trilogy;game;Mafia Trilogy;790
мафия trilogy;maфия trilogy;mafia_trilogy;mafia_trilogy;game;Mafia Trilogy;790
advanced warfare;advanced warfare;call_of_duty_advanced_warfare;call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;789
advanced warfare ps4;advanced warfare ps4;call_of_duty_advanced_warfare;call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;789
advanced warfire;advanced warfire;call_of_duty_advanced_warfare;call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;789
adwanced warfare;adwanced warfare;call_of_duty_advanced_warfare;call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;789
Call Of Duty Advanced Warfare;call of duty advanced warfare;call_of_duty_advanced_warfare;call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;789
cod advanced warfare;cod advanced warfare;call_of_duty_advanced_warfare;call_of_duty_advanced_warfare;game;Call Of Duty Advanced Warfare;789
Nier Automata;nier automata;nier_automata;nier_automata;game;Nier Automata;777
nier automata game of the yorha;nier automata game of the yorha;nier_automata;nier_automata;game;Nier Automata;777
ретчет кланк;petчet kлahk;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
ретчет и кланк;petчet и kлahk;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
рэтчет кланк;pэtчet kлahk;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
рэтчет и кланк;pэtчet и kлahk;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
Ratchet And Clank;ratchet and clank;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
ratchet clank;ratchet clank;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
ratchet clank ps4;ratchet clank ps4;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
ratchet clank диск;ratchet clank диck;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
ratchet clark;ratchet clark;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
ratchet clark ps4;ratchet clark ps4;ratchet_and_clank;ratchet_and_clank;game;Ratchet And Clank;765
re 2 remake;re 2 remake;resident_evil_2_remake;resident_evil_2_remake;game;Resident Evil 2 Remake;765
re2;re2;resident_evil_2_remake;resident_evil_2_remake;game;Resident Evil 2 Remake;765
re2 remake;re2 remake;resident_evil_2_remake;resident_evil_2_remake;game;Resident Evil 2 Remake;765
resident evil 2;resident evil 2;resident_evil_2_remake;resident_evil_2_remake;game;Resident Evil 2 Remake;765
Resident Evil 2 Remake;resident evil 2 remake;resident_evil_2_remake;resident_evil_2_remake;game;Resident Evil 2 Remake;765
dark souls 1 remastered;dark souls 1 remastered;dark_souls_remastered;dark_souls_remastered;game;Dark Souls Remastered;764
dark souls i remastered;dark souls i remastered;dark_souls_remastered;dark_souls_remastered;game;Dark Souls Remastered;764
dark souls remaster;dark souls remaster;dark_souls_remastered;dark_souls_remastered;game;Dark Souls Remastered;764
Dark Souls Remastered;dark souls remastered;dark_souls_remastered;dark_souls_remastered;game;Dark Souls Remastered;764
нужен второй;hyжeh btopoй;it_takes_two;it_takes_two;game;It Takes Two;763
нужны двое;hyжhы дboe;it_takes_two;it_takes_two;game;It Takes Two;763
it take two;it take two;it_takes_two;it_takes_two;game;It Takes Two;763
it takes 2;it takes 2;it_takes_two;it_takes_two;game;It Takes Two;763
It Takes Two;it takes two;it_takes_two;it_takes_two;game;It Takes Two;763
takes two;takes two;it_takes_two;it_takes_two;game;It Takes Two;763
ит тейк ту;иt teйk ty;it_takes_two;it_takes_two;game;It Takes Two;763
ит тейкс 2;иt teйkc 2;it_takes_two;it_takes_two;game;It Takes Two;763
ит тейкс ту;иt teйkc ty;it_takes_two;it_takes_two;game;It Takes Two;763
re 3 remake;re 3 remake;resident_evil_3_remake;resident_evil_3_remake;game;Resident Evil 3 Remake;758
re3;re3;resident_evil_3_remake;resident_evil_3_remake;game;Resident Evil 3 Remake;758
re3 remake;re3 remake;resident_evil_3_remake;resident_evil_3_remake;game;Resident Evil 3 Remake;758
resident evil 3;resident evil 3;resident_evil_3_remake;resident_evil_3_remake;game;Resident Evil 3 Remake;758
Resident Evil 3 Remake;resident evil 3 remake;resident_evil_3_remake;resident_evil_3_remake;game;Resident Evil 3 Remake;758
black ops 4;black ops 4;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
black ops iv;black ops iv;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
bo4;bo4;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
Call of Duty Black Ops 4;call of duty black ops 4;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
call of duty black ops iv;call of duty black ops iv;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
cod black ops 4;cod black ops 4;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
cod bo4;cod bo4;call_of_duty_black_ops_4;call_of_duty_black_ops_4;game;Call of Duty Black Ops 4;755
Far Cry 6;far cry 6;far_cry_6;far_cry_6;game;Far Cry 6;747
farcry 6;farcry 6;far_cry_6;far_cry_6;game;Far Cry 6;747
farcry6;farcry6;far_cry_6;far_cry_6;game;Far Cry 6;747
фар край 6;фap kpaй 6;far_cry_6;far_cry_6;game;Far Cry 6;747
фаркрай 6;фapkpaй 6;far_cry_6;far_cry_6;game;Far Cry 6;747
Gran Turismo 7;gran turismo 7;gran_turismo_7;gran_turismo_7;game;Gran Turismo 7;745
grand turismo 7;grand turismo 7;gran_turismo_7;gran_turismo_7;game;Gran Turismo 7;745
gt7;gt7;gran_turismo_7;gran_turismo_7;game;Gran Turismo 7;745
last of us 2;last of us 2;the_last_of_us_part_ii;the_last_of_us_part_ii;game;The Last of Us Part II;745
the last of us 2;the last of us 2;the_last_of_us_part_ii;the_last_of_us_part_ii;game;The Last of Us Part II;745
the last of us 2 remastered;the last of us 2 remastered;the_last_of_us_part_ii;the_last_of_us_part_ii;game;The Last of Us Part II;745
The Last of Us Part II;the last of us part ii;the_last_of_us_part_ii;the_last_of_us_part_ii;game;The Last of Us Part II;745
tlou 2;tlou 2;the_last_of_us_part_ii;the_last_of_us_part_ii;game;The Last of Us Part II;745
last of us 1;last of us 1;the_last_of_us_remastered;the_last_of_us_remastered;game;The Last of Us Remastered;743
last of us remastered;last of us remastered;the_last_of_us_remastered;the_last_of_us_remastered;game;The Last of Us Remastered;743
the last of us 1;the last of us 1;the_last_of_us_remastered;the_last_of_us_remastered;game;The Last of Us Remastered;743
The Last of Us Remastered;the last of us remastered;the_last_of_us_remastered;the_last_of_us_remastered;game;The Last of Us Remastered;743
dark souls 2;dark souls 2;dark_souls_2_scholar_of_the_first_sin;dark_souls_2_scholar_of_the_first_sin;game;Dark Souls 2 Scholar of the First Sin;740
Dark Souls 2 Scholar of the First Sin;dark souls 2 scholar of the first sin;dark_souls_2_scholar_of_the_first_sin;dark_souls_2_scholar_of_the_first_sin;game;Dark Souls 2 Scholar of the First Sin;740
dark souls ii;dark souls ii;dark_souls_2_scholar_of_the_first_sin;dark_souls_2_scholar_of_the_first_sin;game;Dark Souls 2 Scholar of the First Sin;740
dark souls ii scholar of the first sin;dark souls ii scholar of the first sin;dark_souls_2_scholar_of_the_first_sin;dark_souls_2_scholar_of_the_first_sin;game;Dark Souls 2 Scholar of the First Sin;740
scholar of the first sin;scholar of the first sin;dark_souls_2_scholar_of_the_first_sin;dark_souls_2_scholar_of_the_first_sin;game;Dark Souls 2 Scholar of the First Sin;740
Dark Souls 3;dark souls 3;dark_souls_3;dark_souls_3;game;Dark Souls 3;732
dark souls 3 the fire fades;dark souls 3 the fire fades;dark_souls_3;dark_souls_3;game;Dark Souls 3;732
dark souls iii;dark souls iii;dark_souls_3;dark_souls_3;game;Dark Souls 3;732
the fire fades edition;the fire fades edition;dark_souls_3;dark_souls_3;game;Dark Souls 3;732
re village;re village;resident_evil_village;resident_evil_village;game;Resident Evil Village;717
re8;re8;resident_evil_village;resident_evil_village;game;Resident Evil Village;717
resident evil 8;resident evil 8;resident_evil_village;resident_evil_village;game;Resident Evil Village;717
Resident Evil Village;resident evil village;resident_evil_village;resident_evil_village;game;Resident Evil Village;717
village resident evil;village resident evil;resident_evil_village;resident_evil_village;game;Resident Evil Village;717
tomb raider definitive;tomb raider definitive;tomb_raider_definitive_edition;tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;716
Tomb Raider Definitive Edition;tomb raider definitive edition;tomb_raider_definitive_edition;tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;716
tomb raider ps4;tomb raider ps4;tomb_raider_definitive_edition;tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;716
томб райдер definitive edition;tomб paйдep definitive edition;tomb_raider_definitive_edition;tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;716
лара крофт definitive edition;лapa kpoфt definitive edition;tomb_raider_definitive_edition;tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;716
лара крофт tomb raider;лapa kpoфt tomb raider;tomb_raider_definitive_edition;tomb_raider_definitive_edition;game;Tomb Raider Definitive Edition;716
black ops 6;black ops 6;call_of_duty_black_ops_6;call_of_duty_black_ops_6;game;Call of Duty Black Ops 6;712
bo6;bo6;call_of_duty_black_ops_6;call_of_duty_black_ops_6;game;Call of Duty Black Ops 6;712
Call of Duty Black Ops 6;call of duty black ops 6;call_of_duty_black_ops_6;call_of_duty_black_ops_6;game;Call of Duty Black Ops 6;712
cod black ops 6;cod black ops 6;call_of_duty_black_ops_6;call_of_duty_black_ops_6;game;Call of Duty Black Ops 6;712
cod bo6;cod bo6;call_of_duty_black_ops_6;call_of_duty_black_ops_6;game;Call of Duty Black Ops 6;712
Bloodborne;bloodborne;bloodborne;bloodborne;game;Bloodborne;707
bloodborne game of the year;bloodborne game of the year;bloodborne;bloodborne;game;Bloodborne;707
bloodborne goty;bloodborne goty;bloodborne;bloodborne;game;Bloodborne;707
dlight;dlight;dying_light;dying_light;game;Dying Light;700
Dying Light;dying light;dying_light;dying_light;game;Dying Light;700
dying light enhanced edition;dying light enhanced edition;dying_light;dying_light;game;Dying Light;700
dying light the following;dying light the following;dying_light;dying_light;game;Dying Light;700
даинг лайт;дaиhг лaйt;dying_light;dying_light;game;Dying Light;700
даинглайт;дaиhглaйt;dying_light;dying_light;game;Dying Light;700
дайинг лайт;дaйиhг лaйt;dying_light;dying_light;game;Dying Light;700
соулсы трилогия;coyлcы tpилoгия;dark_souls_trilogy;dark_souls_trilogy;game;Dark Souls Trilogy;693
dark souls трилогия;dark souls tpилoгия;dark_souls_trilogy;dark_souls_trilogy;game;Dark Souls Trilogy;693
Dark Souls Trilogy;dark souls trilogy;dark_souls_trilogy;dark_souls_trilogy;game;Dark Souls Trilogy;693
дарк соулс трилогия;дapk coyлc tpилoгия;dark_souls_trilogy;dark_souls_trilogy;game;Dark Souls Trilogy;693
crash racing;crash racing;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
crash team racing;crash team racing;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
Crash Team Racing Nitro-Fueled;crash team racing nitro fueled;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
ctr crash nitro fueled;ctr crash nitro fueled;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
ctr nitro fueled;ctr nitro fueled;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
краш тим рейсинг;kpaш tиm peйcиhг;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
краш гонки;kpaш гohkи;crash_team_racing_nitro_fueled;crash_team_racing_nitro_fueled;game;Crash Team Racing Nitro-Fueled;692
ас вальгалла;ac baльгaллa;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
ac valhalla;ac valhalla;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
ассассин крид вальгалла;accaccиh kpид baльгaллa;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
ассасин крид вальгалла;accacиh kpид baльгaллa;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
assassin creed valhalla;assassin creed valhalla;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
Assassin S Creed Valhalla;assassin s creed valhalla;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
assassins creed valhalla;assassins creed valhalla;assassin_s_creed_valhalla;assassin_s_creed_valhalla;game;Assassin S Creed Valhalla;691
black ops cold war;black ops cold war;call_of_duty_black_ops_cold_war;call_of_duty_black_ops_cold_war;game;Call Of Duty Black Ops Cold War;682
bo cold war;bo cold war;call_of_duty_black_ops_cold_war;call_of_duty_black_ops_cold_war;game;Call Of Duty Black Ops Cold War;682
Call Of Duty Black Ops Cold War;call of duty black ops cold war;call_of_duty_black_ops_cold_war;call_of_duty_black_ops_cold_war;game;Call Of Duty Black Ops Cold War;682
cod cold war;cod cold war;call_of_duty_black_ops_cold_war;call_of_duty_black_ops_cold_war;game;Call Of Duty Black Ops Cold War;682
cold war;cold war;call_of_duty_black_ops_cold_war;call_of_duty_black_ops_cold_war;game;Call Of Duty Black Ops Cold War;682
sekiro;sekiro;sekiro_shadows_die_twice;sekiro_shadows_die_twice;game;Sekiro Shadows Die Twice;675
sekiro ps4;sekiro ps4;sekiro_shadows_die_twice;sekiro_shadows_die_twice;game;Sekiro Shadows Die Twice;675
Sekiro Shadows Die Twice;sekiro shadows die twice;sekiro_shadows_die_twice;sekiro_shadows_die_twice;game;Sekiro Shadows Die Twice;675
Call Of Duty Vanguard;call of duty vanguard;call_of_duty_vanguard;call_of_duty_vanguard;game;Call Of Duty Vanguard;670
cod vanguard;cod vanguard;call_of_duty_vanguard;call_of_duty_vanguard;game;Call Of Duty Vanguard;670
соник фронтиерс;cohиk фpohtиepc;sonic_frontiers;sonic_frontiers;game;Sonic Frontiers;670
соник фронтирс;cohиk фpohtиpc;sonic_frontiers;sonic_frontiers;game;Sonic Frontiers;670
Silent Hill 2;silent hill 2;silent_hill_2;silent_hill_2;game;Silent Hill 2;670
silent hill 2 remake;silent hill 2 remake;silent_hill_2;silent_hill_2;game;Silent Hill 2;670
Sonic Frontiers;sonic frontiers;sonic_frontiers;sonic_frontiers;game;Sonic Frontiers;670
vanguard ps4;vanguard ps4;call_of_duty_vanguard;call_of_duty_vanguard;game;Call Of Duty Vanguard;670
vanguard ps5;vanguard ps5;call_of_duty_vanguard;call_of_duty_vanguard;game;Call Of Duty Vanguard;670
Call Of Duty Ghosts;call of duty ghosts;call_of_duty_ghosts;call_of_duty_ghosts;game;Call Of Duty Ghosts;666
cod ghost;cod ghost;call_of_duty_ghosts;call_of_duty_ghosts;game;Call Of Duty Ghosts;666
cod ghosts;cod ghosts;call_of_duty_ghosts;call_of_duty_ghosts;game;Call Of Duty Ghosts;666
ghosts ps4;ghosts ps4;call_of_duty_ghosts;call_of_duty_ghosts;game;Call Of Duty Ghosts;666
bloodborne game of the year;bloodborne game of the year;bloodborne_game_of_the_year_edition;bloodborne_game_of_the_year_edition;game;Bloodborne Game Of The Year Edition;661
Bloodborne Game Of The Year Edition;bloodborne game of the year edition;bloodborne_game_of_the_year_edition;bloodborne_game_of_the_year_edition;game;Bloodborne Game Of The Year Edition;661
